"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1910","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","1801","Check displaying of empty courses list","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","1920","Navigation from login page to registration page","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","1843","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","2788","Create course","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","3476","User login with correct email and password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","2132","Check displaying of dashboard page","LMS system","2026-07-25","passed","2026-07-25","Dashboard","Dashboard","",""
"","2543","User login with wrong email or password","LMS system","2026-07-25","passed","2026-07-25","Authorization","Authentication","",""
"","3801","Edit course","LMS system","2026-07-25","passed","2026-07-25","Courses","Courses","",""
"","2216","Registration with correct email, username and password","LMS system","2026-07-25","passed","2026-07-25","Registration","Authentication","",""
